yyyy,mm,tmax,tmin,af,rain,sun
1996,1,6.6,3.5,4,59.8,0.0
1996,2,5.7,0.0,0,20.4,0.0
1996,3,6.3,2.0,5,61.2,0.0
1996,4,10.6,4.7,1,28.4,0.0
1996,5,0.0,0.0,0,83.5,0.0
1996,6,15.7,8.4,0,44.6,0.0
1996,7,16.3,10.0,0,82.0,0.0
1996,8,16.4,11.2,0,97.2,0.0
1996,9,15.7,0.0,0,24.4,0.0
1996,10,13.1,8.1,0,43.4,0.0
1996,11,7.8,2.8,7,43.8,0.0
1996,12,6.0,2.1,7,70.4,0.0
1997,1,6.4,1.9,9,29.2,0.0
1997,2,0.0,2.0,3,24.5,0.0
1997,3,10.0,4.2,3,71.4,0.0
1997,4,11.1,4.7,2,51.2,0.0
1997,5,13.5,6.2,0,1.6,0.0
1997,6,15.0,0.0,0,90.8,0.0
1997,7,18.1,10.9,0,68.2,0.0
1997,8,19.2,12.2,0,69.2,0.0
1997,9,15.2,9.2,0,61.6,0.0
1997,10,0.0,7.3,1,82.7,0.0
1997,11,10.3,6.1,0,78.3,0.0
1997,12,8.2,3.9,3,59.0,0.0
1998,1,7.2,2.4,7,98.6,0.0
1998,2,9.9,5.4,1,62.8,0.0
1998,3,9.2,4.2,3,90.6,0.0
1998,4,8.8,3.5,4,36.2,0.0
1998,5,12.2,6.7,0,75.6,0.0
1998,6,14.4,7.9,0,79.6,0.0
1998,7,15.0,10.2,0,36.2,0.0
1998,8,16.0,10.2,0,12.2,0.0
1998,9,15.2,10.2,0,6.8,0.0
1998,10,0.0,0.0,0,7.3,0.0
1998,11,0.0,0.0,0,72.1,0.0
1998,12,0.0,0.0,0,23.5,0.0
1999,1,6.4,2.0,7,48.0,0.0
1999,2,7.1,2.8,4,3.2,0.0
1999,3,9.0,3.2,3,57.8,0.0
1999,4,10.6,4.8,5,19.8,0.0
1999,5,0.0,0.0,0,54.8,0.0
1999,6,14.6,8.1,0,80.2,0.0
1999,7,18.2,11.0,0,54.0,0.0
1999,8,16.4,10.6,0,74.6,0.0
1999,9,16.2,10.6,0,12.2,0.0
1999,10,12.2,7.8,0,78.4,0.0
1999,11,9.4,4.8,1,36.6,0.0
1999,12,6.5,1.9,2,0.2,0.0
2000,1,7.2,2.7,4,65.8,0.0
2000,2,7.7,2.3,4,0.4,0.0
2000,3,9.4,4.0,2,86.6,0.0
2000,4,0.0,3.2,2,24.2,0.0
2000,5,13.8,6.0,0,58.2,0.0
2000,6,0.0,0.0,0,55.6,0.0
2000,7,16.6,10.8,0,25.8,0.0
2000,8,17.5,10.6,0,99.6,0.0
2000,9,15.4,10.1,0,59.6,0.0
2000,10,11.6,6.2,0,86.8,0.0
2000,11,8.2,3.4,1,82.8,0.0
2000,12,7.0,3.2,8,89.6,0.0
2001,1,0.0,1.5,7,0.2,0.0
2001,2,0.0,0.0,0,94.7,0.0
2001,3,7.0,1.4,7,59.4,0.0
2001,4,8.9,3.2,1,64.2,0.0
2001,5,15.1,7.2,0,41.8,0.0
2001,6,14.7,8.1,0,81.4,0.0
2001,7,16.6,10.5,0,51.2,0.0
2001,8,17.2,10.8,0,13.2,0.0
2001,9,14.6,9.8,0,72.2,0.0
2001,10,14.0,9.4,0,48.6,0.0
2001,11,10.0,5.2,0,61.6,0.0
2001,12,7.4,2.4,6,23.4,0.0
2002,1,8.8,3.7,1,3.0,0.0
2002,2,7.8,2.6,2,2.0,0.0
2002,3,9.7,3.5,2,77.4,0.0
2002,4,11.0,4.5,3,96.2,0.0
2002,5,13.3,6.6,0,37.4,0.0
2002,6,15.2,9.5,0,51.0,0.0
2002,7,15.5,10.1,0,90.2,0.0
2002,8,17.6,11.2,0,71.2,0.0
2002,9,15.9,9.9,0,57.4,0.0
2002,10,10.9,6.3,0,48.2,0.0
2002,11,9.9,5.8,0,49.8,0.0
2002,12,7.0,4.1,2,5.4,0.0
2003,1,6.8,2.3,5,16.5,0.0
2003,2,6.7,2.1,4,61.8,0.0
2003,3,10.8,3.3,3,34.8,0.0
2003,4,12.0,5.6,0,43.2,0.0
2003,5,12.9,6.7,0,11.5,0.0
2003,6,16.9,9.9,0,52.0,0.0
2003,7,18.3,12.3,0,57.4,0.0
2003,8,18.5,11.7,0,25.0,0.0
2003,9,15.8,9.8,0,68.4,0.0
2003,10,11.0,6.3,0,73.8,0.0
2003,11,9.8,5.2,0,68.8,0.0
2003,12,7.8,3.4,4,8.8,0.0
2004,1,7.0,2.9,3,44.4,0.0
2004,2,7.5,2.2,6,54.5,0.0
2004,3,8.9,3.1,3,89.8,0.0
2004,4,10.8,5.3,0,96.6,0.0
2004,5,13.2,6.7,0,50.2,0.0
2004,6,15.9,10.1,0,39.2,0.0
2004,7,16.4,10.3,0,63.6,0.0
2004,8,17.4,12.2,0,18.6,0.0
2004,9,15.4,10.3,0,3.0,0.0
2004,10,11.1,6.2,0,71.8,0.0
2004,11,9.6,6.4,2,9.4,0.0
2004,12,8.6,3.5,2,28.6,0.0
2005,1,8.1,3.5,3,20.4,0.0
