yyyy,mm,tmax,tmin,af,rain,sun
1996,1,8.3,4.3,3,56.4,0.0
1996,2,7.8,1.2,11,67.0,0.0
1996,3,9.7,3.1,3,46.6,0.0
1996,4,12.8,5.6,4,79.0,0.0
1996,5,14.3,6.2,0,85.2,0.0
1996,6,18.5,10.0,0,33.4,0.0
1996,7,20.5,12.6,0,28.6,0.0
1996,8,20.7,13.0,0,65.2,0.0
1996,9,18.8,10.8,0,31.0,0.0
1996,10,15.7,10.6,0,100.6,0.0
1996,11,11.0,5.0,2,125.2,0.0
1996,12,0.0,0.0,0,35.2,0.0
1997,1,6.4,1.4,11,11.4,0.0
1997,2,10.8,4.8,2,89.2,0.0
1997,3,12.4,5.8,1,24.6,0.0
1997,4,14.5,5.1,0,20.2,0.0
1997,5,17.3,8.2,0,63.6,0.0
1997,6,18.2,11.6,0,101.6,0.0
1997,7,20.4,12.7,0,39.0,0.0
1997,8,22.0,15.7,0,131.6,0.0
1997,9,19.3,11.3,0,30.2,0.0
1997,10,16.0,9.0,0,98.6,0.0
1997,11,13.1,6.9,0,145.6,0.0
1997,12,10.6,4.8,4,72.0,0.0
1998,1,9.5,3.8,6,106.8,0.0
1998,2,11.9,4.6,4,26.8,0.0
1998,3,11.8,6.1,1,92.2,0.0
1998,4,11.9,5.5,0,108.2,0.0
1998,5,18.3,9.5,0,34.0,0.0
1998,6,18.1,12.0,0,107.0,0.0
1998,7,18.7,13.3,0,77.0,0.0
1998,8,20.0,12.5,0,30.0,0.0
1998,9,18.8,12.5,0,80.6,0.0
1998,10,15.1,9.6,0,160.8,0.0
1998,11,11.1,5.7,1,97.8,0.0
1998,12,10.6,4.0,6,90.2,0.0
1999,1,10.5,4.4,5,125.6,0.0
1999,2,9.3,4.5,1,70.2,0.0
1999,3,11.2,4.7,1,39.4,0.0
1999,4,13.4,7.2,1,83.2,0.0
1999,5,17.3,10.4,0,40.4,0.0
1999,6,18.0,10.4,0,81.0,0.0
1999,7,21.9,13.8,0,19.2,0.0
1999,8,21.2,13.6,0,92.2,0.0
1999,9,20.0,11.8,0,106.6,0.0
1999,10,15.3,8.6,0,91.4,0.0
1999,11,12.2,6.5,1,59.8,0.0
1999,12,10.0,4.9,3,214.6,0.0
2000,1,9.1,2.6,7,38.8,0.0
2000,2,10.5,5.1,1,110.0,0.0
2000,3,11.4,4.9,0,36.6,0.0
2000,4,12.4,5.0,2,109.0,0.0
2000,5,16.7,9.2,0,103.4,0.0
2000,6,19.0,11.6,0,32.6,0.0
2000,7,19.9,12.9,0,119.0,0.0
2000,8,20.6,14.0,0,82.4,0.0
2000,9,19.1,12.3,0,137.8,0.0
2000,10,14.6,8.8,0,228.2,0.0
2000,11,11.2,5.9,0,220.2,0.0
2000,12,10.0,5.3,4,155.6,0.0
2001,1,8.3,2.7,7,78.6,0.0
2001,2,9.6,3.1,8,69.6,0.0
2001,3,10.1,4.2,4,91.0,0.0
2001,4,12.0,5.5,0,82.6,0.0
2001,5,17.7,9.0,0,22.4,0.0
2001,6,19.1,10.4,0,45.6,0.0
2001,7,20.6,13.0,0,62.0,0.0
2001,8,20.9,13.9,0,58.0,0.0
2001,9,18.6,11.9,0,29.6,0.0
2001,10,17.7,11.5,0,112.6,0.0
2001,11,12.6,5.4,1,90.2,0.0
2001,12,8.9,2.0,9,37.2,0.0
2002,1,10.3,4.8,3,95.8,0.0
2002,2,11.1,5.4,3,124.8,0.0
2002,3,12.2,5.5,0,44.4,0.0
2002,4,13.5,5.9,1,49.2,0.0
2002,5,16.0,8.6,0,114.4,0.0
2002,6,17.2,11.2,0,41.2,0.0
2002,7,0.0,12.4,0,50.6,0.0
2002,8,20.2,13.1,0,32.4,0.0
2002,9,19.4,10.4,0,24.8,0.0
2002,10,15.1,8.8,0,119.6,0.0
2002,11,13.1,7.9,0,139.6,0.0
2002,12,9.5,5.2,1,114.4,0.0
2003,1,8.4,3.1,8,57.6,0.0
2003,2,8.8,2.7,7,46.2,0.0
2003,3,13.2,4.9,1,44.8,0.0
2003,4,15.3,5.6,4,38.4,0.0
2003,5,15.5,9.0,0,60.6,0.0
2003,6,19.9,11.5,0,44.0,0.0
2003,7,21.1,13.8,0,83.6,0.0
2003,8,22.8,14.1,0,28.8,0.0
2003,9,20.0,10.3,0,20.8,0.0
2003,10,14.1,7.0,4,78.8,0.0
2003,11,12.6,6.3,1,92.4,0.0
2003,12,9.9,4.3,1,119.4,0.0
2004,1,9.6,4.3,4,117.6,0.0
2004,2,9.2,3.5,5,46.9,0.0
2004,3,11.1,4.0,7,49.8,0.0
2004,4,13.3,6.6,1,48.4,0.0
2004,5,16.7,8.4,0,32.0,0.0
2004,6,19.2,12.0,0,49.4,0.0
2004,7,0.0,0.0,0,41.0,0.0
2004,8,21.1,14.3,0,124.8,0.0
2004,9,18.9,12.8,0,60.5,0.0
2004,10,14.5,8.7,0,141.6,0.0
2004,11,12.3,7.6,0,43.0,0.0
2004,12,10.2,4.7,5,116.3,0.0
2005,1,10.4,5.7,0,57.4,0.0
2005,2,8.2,2.9,5,47.4,0.0
2005,3,11.4,5.2,4,56.0,0.0
2005,4,13.7,6.5,0,71.0,0.0
2005,5,15.6,8.2,0,38.4,0.0
2005,6,19.6,12.4,0,105.3,0.0
2005,7,20.8,14.2,0,63.0,0.0
2005,8,20.4,12.3,0,42.6,0.0
2005,9,19.6,12.1,0,68.8,0.0
2005,10,16.8,11.4,0,122.4,0.0
2005,11,11.6,4.0,10,103.0,0.0
2005,12,9.5,2.9,9,81.2,0.0
2006,1,8.4,2.7,7,43.0,0.0
2006,2,7.5,2.4,8,38.7,0.0
2006,3,9.5,3.9,3,74.0,0.0
2006,4,12.9,6.3,1,22.4,0.0
2006,5,15.8,8.9,0,91.2,0.0
2006,6,20.4,0.0,0,44.0,0.0
2006,7,24.2,14.5,0,28.2,0.0
2006,8,20.0,14.1,0,24.0,0.0
2006,9,21.3,13.6,0,35.6,0.0
2006,10,16.8,11.3,0,117.0,0.0
2006,11,13.0,5.7,3,127.8,0.0
2006,12,10.4,5.9,4,96.6,0.0
2007,1,10.8,6.1,1,73.9,0.0
2007,2,10.7,5.2,3,117.8,0.0
2007,3,11.7,4.6,1,50.0,0.0
2007,4,17.0,7.2,0,9.0,0.0
2007,5,16.2,9.5,0,118.8,0.0
2007,6,18.9,12.2,0,123.2,0.0
2007,7,18.6,12.8,0,131.6,0.0
2007,8,20.1,12.4,0,67.0,0.0
2007,9,18.7,11.2,0,34.0,0.0
2007,10,15.7,9.0,0,40.6,0.0
2007,11,12.3,6.2,1,54.8,0.0
2007,12,9.8,3.9,9,105.6,0.0
2008,1,10.7,5.4,0,105.4,0.0
2008,2,10.9,3.0,5,36.4,0.0
2008,3,10.4,5.0,1,84.8,0.0
2008,4,12.2,5.2,2,52.5,0.0
2008,5,18.6,10.0,0,75.4,0.0
2008,6,17.9,11.1,0,30.4,0.0
2008,7,19.8,13.0,0,116.4,0.0
